실종나이,성별,하늘상태,강수형태,기온,가출이력,거주지 주소,발생지 주소,월,시간,발생장소
82,1,1,0,1.7,0,1,5,12,16,1
75,1,1,0,-2.3,0,0,3,12,19,1
69,0,1,0,0.3,0,4,4,12,17,0
75,1,1,0,-9.7,0,3,1,1,8,0
83,0,1,0,-7.3,0,4,4,1,3,1
90,0,1,0,-8.2,0,3,3,1,9,1
67,0,1,0,-7.6,0,4,4,1,10,1
56,0,1,0,-8.5,0,0,1,1,10,1
73,0,1,0,-8.5,0,1,1,1,10,1
82,0,1,0,-8.4,0,5,5,1,7,1
69,0,1,0,-5.4,0,3,3,1,13,0
84,0,1,0,-6.2,0,1,3,1,11,1
64,1,1,0,-4.4,0,5,4,1,16,1
84,1,1,0,-4.4,0,1,3,1,16,1
67,1,1,0,-5.7,0,4,4,1,18,1
83,0,1,0,-6.1,0,0,0,1,13,1
76,1,1,0,-4.4,0,4,4,1,14,1
75,1,1,0,-4.4,0,2,2,1,16,1
78,1,1,0,-5.3,1,2,2,1,17,1
80,0,3,0,-7.2,0,2,2,1,4,1
82,0,1,0,-6.6,0,0,0,1,18,1
66,0,2,0,-8.8,0,0,0,1,8,1
80,0,2,0,-3.7,0,4,5,1,11,1
76,1,1,0,-2.6,0,2,2,1,17,1
70,0,1,0,-2.5,0,2,2,1,13,1
81,0,1,0,-2.6,0,5,5,1,17,1
80,0,1,0,-2.7,0,0,0,1,14,1
79,1,1,0,-7.5,0,5,2,1,5,0
81,1,3,0,-6.1,0,4,4,1,10,1
73,1,3,0,-5.4,1,0,0,1,10,1
82,1,3,0,-6.1,0,4,5,1,10,1
80,1,3,0,-6.1,0,5,5,1,10,1
89,0,1,0,-1.3,0,0,0,1,12,0
76,0,4,0,1.5,0,1,2,1,18,1
75,0,1,0,-7.3,0,3,3,1,6,1
79,0,3,0,2.4,0,0,1,1,16,1
87,1,3,0,1.5,0,4,5,1,17,0
81,1,1,0,-7.5,0,0,3,1,9,1
81,1,4,0,1.6,0,1,4,1,19,0
86,0,1,0,0.7,0,3,3,1,14,0
86,0,3,0,1.1,0,1,1,1,20,1
82,1,4,0,1.6,0,5,5,1,19,1
80,1,1,0,-7.5,1,0,0,1,9,1
76,0,3,0,0.8,0,3,3,1,7,1
76,1,4,0,1.5,0,3,3,1,0,1
88,1,3,0,1.8,0,2,3,1,10,1
75,0,3,0,1.3,0,0,0,1,10,1
81,1,3,0,1.3,0,0,0,1,10,1
68,1,3,0,2.2,0,3,3,1,11,0
82,0,3,0,2.2,0,2,2,1,11,1
70,0,3,0,4.5,0,4,4,1,13,0
71,0,1,0,1.9,0,5,5,1,22,1
79,1,1,0,6.2,0,4,4,1,15,1
55,0,3,0,4.5,0,0,5,1,13,1
74,0,3,0,4.2,0,1,1,1,13,1
84,1,1,0,6.3,0,3,3,1,17,1
74,0,1,0,10.2,0,4,4,3,9,1
81,0,1,0,6.7,0,5,2,1,16,1
77,0,1,0,6.7,0,2,2,1,16,1
81,0,1,0,6.7,0,2,2,1,16,1
80,0,3,0,2.5,0,0,0,1,11,1
79,1,3,0,1.1,0,4,4,1,9,1
77,0,3,0,0.8,0,2,5,1,8,1
